DATE,HOUR,TEMPERATURE,NOISE,LUMINOSITY,HR,ITERATION
3/7/2019,12:00:00 AM,24.85,48.362,0.19,64,1
3/7/2019,12:20:00 AM,25.4,35.718,0.07,64,2
3/7/2019,12:40:00 AM,24.7,35.718,0.08,66,3
3/7/2019,1:00:00 AM,24.29,36.072,0.08,65,4
3/7/2019,1:20:00 AM,23.3,35.718,0.07,62,5
3/7/2019,1:40:00 AM,23.45,35.755,0.08,59,6
3/7/2019,2:00:00 AM,23.43,36.43,0.07,56,7
3/7/2019,2:20:00 AM,23.39,36.038,0.07,57,8
3/7/2019,2:40:00 AM,23.36,36.038,0.08,58,9
3/7/2019,3:00:00 AM,23.34,35.934,0.08,57,10
3/7/2019,3:20:00 AM,23.35,35.791,0.07,54,11
3/7/2019,3:40:00 AM,23.29,35.827,0.07,52,12
3/7/2019,4:00:00 AM,23.35,35.755,0.08,53,13
3/7/2019,4:20:00 AM,23.37,36.986,0.07,53,14
3/7/2019,4:40:00 AM,23.34,35.755,0.08,55,15
3/7/2019,5:00:00 AM,23.19,35.755,0.08,56,16
3/7/2019,5:20:00 AM,23.27,35.827,0.07,54,17
3/7/2019,5:40:00 AM,23.25,36.789,0.07,54,18
3/7/2019,6:00:00 AM,23.26,36.76,0.07,55,19
3/7/2019,6:20:00 AM,23.16,36.789,0.07,54,20
3/7/2019,6:40:00 AM,23.04,36.789,0.07,56,21
3/7/2019,7:00:00 AM,23.03,36.789,0.08,54,22
3/7/2019,7:20:00 AM,23,36.789,0.08,52,23
3/7/2019,7:40:00 AM,23,53.452,0.95,56,24
3/7/2019,8:00:00 AM,24.94,71.168,0.46,57,25
