DATE,HOUR,TEMPERATURE,NOISE,LUMINOSITY,HR,ITERATION
3/6/2019,12:00:00 AM,23.67,35.718,0.08,68,1
3/6/2019,12:20:00 AM,23.47,35.863,0.07,66,2
3/6/2019,12:40:00 AM,23.37,57.565,0.07,68,3
3/6/2019,1:00:00 AM,23.49,35.718,0.08,64,4
3/6/2019,1:20:00 AM,23.38,35.718,0.08,60,5
3/6/2019,1:40:00 AM,23.31,35.791,0.08,62,6
3/6/2019,2:00:00 AM,23.36,35.718,0.07,60,7
3/6/2019,2:20:00 AM,23.43,35.718,0.08,58,8
3/6/2019,2:40:00 AM,23.4,35.718,0.07,58,9
3/6/2019,3:00:00 AM,23.38,35.827,0.08,56,10
3/6/2019,3:20:00 AM,23.44,35.718,0.07,59,11
3/6/2019,3:40:00 AM,23.44,35.791,0.07,58,12
3/6/2019,4:00:00 AM,23.46,35.718,0.07,55,13
3/6/2019,4:20:00 AM,23.35,35.755,0.07,54,14
3/6/2019,4:40:00 AM,23.23,35.755,0.08,53,15
3/6/2019,5:00:00 AM,23.36,35.755,0.07,55,16
3/6/2019,5:20:00 AM,23.16,35.863,0.07,58,17
3/6/2019,5:40:00 AM,23.25,36.958,0.07,59,18
3/6/2019,6:00:00 AM,23.19,36.789,0.07,58,19
3/6/2019,6:20:00 AM,23.18,36.789,0.07,54,20
3/6/2019,6:40:00 AM,23.04,37.174,0.07,56,21
3/6/2019,7:00:00 AM,23.05,36.818,0.07,57,22
3/6/2019,7:20:00 AM,23.11,40.276,0.08,57,23
3/6/2019,7:40:00 AM,24.6,72.845,0.44,54,24
3/6/2019,8:00:00 AM,25.35,69.922,0.52,55,25
