DATE,HOUR,TEMPERATURE,NOISE,LUMINOSITY,HR
3/8/2019,1:40:00 AM,23.07,35.681,0.07,57
3/8/2019,2:00:00 AM,23.08,36.43,0.07,52
3/8/2019,2:20:00 AM,23.14,35.791,0.07,55
3/8/2019,2:40:00 AM,23.23,35.718,0.07,53
3/8/2019,3:00:00 AM,23.17,36.105,0.07,56
3/8/2019,3:20:00 AM,23.11,36.238,0.06,55
3/8/2019,3:40:00 AM,23.01,48.064,0.08,57
3/8/2019,4:00:00 AM,23.04,35.755,0.08,54
3/8/2019,4:20:00 AM,22.97,35.755,0.07,54
3/8/2019,4:40:00 AM,22.98,35.718,0.07,53
3/8/2019,5:00:00 AM,23.07,36.43,0.07,52
3/8/2019,5:20:00 AM,23.06,40.998,0.06,52
3/8/2019,5:40:00 AM,22.99,36.003,0.07,54
3/8/2019,6:00:00 AM,23.01,36.003,0.07,62
3/8/2019,6:20:00 AM,23,36.335,0.07,62
3/8/2019,6:40:00 AM,23,36.303,0.08,57
3/8/2019,7:00:00 AM,22.99,36.335,0.07,57
3/8/2019,7:20:00 AM,22.91,36.335,0.07,58
3/8/2019,7:40:00 AM,24.32,36.702,0.32,56
3/8/2019,8:00:00 AM,24.82,36.205,0.39,62
3/9/2019,12:00:00 AM,23.21,"38,364",0.52,60
3/9/2019,12:20:00 AM,23.27,"42,774",0.55,62
3/9/2019,12:40:00 AM,23.31,"49,881",0.75,67
3/9/2019,1:00:00 AM,23.42,"57,180",1,78
3/9/2019,1:20:00 AM,23.29,"36,931",0.99,66
3/9/2019,1:40:00 AM,23.24,"36,958",1,68
3/9/2019,2:00:00 AM,23.16,"36,958",1.02,67
3/9/2019,2:20:00 AM,23.1,"36,958",0.98,66
3/9/2019,2:40:00 AM,22.98,"36,931",0.98,65
3/9/2019,3:00:00 AM,22.9,"36,931",1.01,64
3/9/2019,3:20:00 AM,22.83,"36,931",1,65
3/9/2019,3:40:00 AM,22.67,"36,903",1.01,63
3/9/2019,4:00:00 AM,22.67,"36,986",1.02,67
3/9/2019,4:20:00 AM,22.62,"36,931",1.01,66
3/9/2019,4:40:00 AM,22.63,"36,931",0.99,64
3/9/2019,5:00:00 AM,22.6,"36,986",0.98,62
3/9/2019,5:20:00 AM,22.58,"37,695",0.99,66
3/9/2019,5:40:00 AM,22.58,"37,174",0.98,65
3/9/2019,6:00:00 AM,22.6,"37,121",0.97,64
3/9/2019,6:20:00 AM,22.63,"37,095",0.41,68
3/9/2019,6:40:00 AM,22.62,"37,095",0.15,66
3/9/2019,7:00:00 AM,22.66,"36,986",0.27,63
3/9/2019,7:20:00 AM,22.67,"37,095",0.59,62
3/9/2019,7:40:00 AM,22.68,"37,068",1.4,68
3/9/2019,8:00:00 AM,22.8,"37,304",5.59,70
3/10/2019,12:00:00 AM,22.7,"37,095",0.1,65
3/10/2019,12:20:00 AM,22.63,"55,733",0.09,78
3/10/2019,12:40:00 AM,22.6,"37,227",5.27,64
3/10/2019,1:00:00 AM,22.37,"38,820",6.06,67
3/10/2019,1:20:00 AM,22.29,"39,814",6.07,70
3/10/2019,1:40:00 AM,22.55,"52,139",6.11,75
3/10/2019,2:00:00 AM,22.61,"36,958",0.49,68
3/10/2019,2:20:00 AM,22.83,"37,671",0.27,66
3/10/2019,2:40:00 AM,22.9,"36,875",0.88,63
3/10/2019,3:00:00 AM,23.12,"36,702",1.11,65
3/10/2019,3:20:00 AM,23.14,"47,695",1.22,77
3/10/2019,3:40:00 AM,23.15,"36,072",0.13,82
3/10/2019,4:00:00 AM,23.22,"42,084",0.07,75
3/10/2019,4:20:00 AM,23.19,"35,827",0.08,70
3/10/2019,4:40:00 AM,23.33,"35,791",0.08,68
3/10/2019,5:00:00 AM,23.23,"35,827",0.07,68
3/10/2019,5:20:00 AM,23.14,"35,791",0.07,63
3/10/2019,5:40:00 AM,23.18,"35,755",0.08,62
3/10/2019,6:00:00 AM,23.31,"35,791",0.08,62
3/10/2019,6:20:00 AM,23.21,"35,791",0.07,63
3/10/2019,6:40:00 AM,23.21,"35,827",0.08,64
3/10/2019,7:00:00 AM,23.19,"37,764",0.08,60
3/10/2019,7:20:00 AM,23.13,"38,201",0.08,57
3/10/2019,7:40:00 AM,23.04,"36,643",0.09,59
3/10/2019,8:00:00 AM,23.04,"35,791",0.1,60
