DATE,HOUR,TEMPERATURE,NOISE,LUMINOSITY,HR,ITERATION
3/10/2019,12:00:00 AM,22.7,"37,095",0.1,65,1
3/10/2019,12:20:00 AM,22.63,"55,733",0.09,78,2
3/10/2019,12:40:00 AM,22.6,"37,227",5.27,64,3
3/10/2019,1:00:00 AM,22.37,"38,820",6.06,67,4
3/10/2019,1:20:00 AM,22.29,"39,814",6.07,70,5
3/10/2019,1:40:00 AM,22.55,"52,139",6.11,75,6
3/10/2019,2:00:00 AM,22.61,"36,958",0.49,68,7
3/10/2019,2:20:00 AM,22.83,"37,671",0.27,66,8
3/10/2019,2:40:00 AM,22.9,"36,875",0.88,63,9
3/10/2019,3:00:00 AM,23.12,"36,702",1.11,65,10
3/10/2019,3:20:00 AM,23.14,"47,695",1.22,77,11
3/10/2019,3:40:00 AM,23.15,"36,072",0.13,82,12
3/10/2019,4:00:00 AM,23.22,"42,084",0.07,75,13
3/10/2019,4:20:00 AM,23.19,"35,827",0.08,70,14
3/10/2019,4:40:00 AM,23.33,"35,791",0.08,68,15
3/10/2019,5:00:00 AM,23.23,"35,827",0.07,68,16
3/10/2019,5:20:00 AM,23.14,"35,791",0.07,63,17
3/10/2019,5:40:00 AM,23.18,"35,755",0.08,62,18
3/10/2019,6:00:00 AM,23.31,"35,791",0.08,62,19
3/10/2019,6:20:00 AM,23.21,"35,791",0.07,63,20
3/10/2019,6:40:00 AM,23.21,"35,827",0.08,64,21
3/10/2019,7:00:00 AM,23.19,"37,764",0.08,60,22
3/10/2019,7:20:00 AM,23.13,"38,201",0.08,57,23
3/10/2019,7:40:00 AM,23.04,"36,643",0.09,59,24
3/10/2019,8:00:00 AM,23.04,"35,791",0.1,60,25
