DATE,HOUR,TEMPERATURE,NOISE,LUMINOSITY,HR,ITERATION
3/8/2019,12:00:00 AM,22.82,40.899,0.08,64,1
3/8/2019,12:20:00 AM,22.69,45.729,0.08,63,2
3/8/2019,12:40:00 AM,22.76,35.755,0.08,62,3
3/8/2019,1:00:00 AM,22.88,35.755,0.08,59,4
3/8/2019,1:20:00 AM,22.97,35.791,0.08,58,5
3/8/2019,1:40:00 AM,23.07,35.681,0.07,57,6
3/8/2019,2:00:00 AM,23.08,36.43,0.07,52,7
3/8/2019,2:20:00 AM,23.14,35.791,0.07,55,8
3/8/2019,2:40:00 AM,23.23,35.718,0.07,53,9
3/8/2019,3:00:00 AM,23.17,36.105,0.07,56,10
3/8/2019,3:20:00 AM,23.11,36.238,0.06,55,11
3/8/2019,3:40:00 AM,23.01,48.064,0.08,57,12
3/8/2019,4:00:00 AM,23.04,35.755,0.08,54,13
3/8/2019,4:20:00 AM,22.97,35.755,0.07,54,14
3/8/2019,4:40:00 AM,22.98,35.718,0.07,53,15
3/8/2019,5:00:00 AM,23.07,36.43,0.07,52,16
3/8/2019,5:20:00 AM,23.06,40.998,0.06,52,17
3/8/2019,5:40:00 AM,22.99,36.003,0.07,54,18
3/8/2019,6:00:00 AM,23.01,36.003,0.07,62,19
3/8/2019,6:20:00 AM,23,36.335,0.07,62,20
3/8/2019,6:40:00 AM,23,36.303,0.08,57,21
3/8/2019,7:00:00 AM,22.99,36.335,0.07,57,22
3/8/2019,7:20:00 AM,22.91,36.335,0.07,58,23
3/8/2019,7:40:00 AM,24.32,36.702,0.32,56,24
3/8/2019,8:00:00 AM,24.82,36.205,0.39,62,25
